id,rating,review,extra,assessment,workload,date
14291,1353,"This is one of the few professors I will remember fondly, 40 years on.  He lectured for 75 minutes straight, seemingly without notes, interjecting jokes and factoids that enhanced our understanding of the material instead of distracting from the topic at hand.  Communist Regimes is one of those classes where you sit in the lecture hall and think, ""FINALLY I'm getting my money's worth at this school.""  Professor Bernstein is so erudite and articulate... you'll want to have a cup of coffee with the guy and spend some more time talking about Stalin and Mao.  He brings so much passion and insight to his subject; it's as if he lived through communist repression himself.  What a relief to have a professor who doesn't whitewash Marxism and its real-world effects!",160.39.107.140,"Straight-forward tests with essays and short-answer questions taken straight from the lectures.  The readings are basically supplemental.  Outside papers required.  Some of the TAs are kind of Marxist-Leninist, so they spend section time ragging on Bernstein a bit... but it's all in good fun.",5,2006-03-10 00:00:00
7384,218,"I feel there is really no basis for my review of Professor Moxey considering the class is really based on the guest lecturers which vary each year and the TA. Though Moxey usually starts the term with a couple lectures and ends it as well. He's an unbelievable lecturer with simple humor and makes it interesting.  I can't stress enough how important the TA is though, considering he/she will be reading/grading your essays and your participation during discussion as well as grading you midterms/ finals. ",152.163.253.7,"Midterm, Final, 2 papers- 3 pgs and 5 pgs, one hour required discussion section--participation is graded. Readings aren't that bad and can be interesting. Though I warn you the memorization can be heavy. ",3,2003-12-25 00:00:00
20060,4517,"Andrew's amazing. CC is supposed to change the way you think about the world, but frankly I think Andrew's more responsible for my new outlook than any of the specific texts we read. He's extremely well versed in the texts and knows each one cover-to-cover, but he doesn't pretend to know the definitive interpretation of any of them. He facilitates class discussion, lectures when appropriate, and pours his heart and soul into the class. I generally hate philosophy, but this class was surprisingly pleasant. I'd highly recommend him.",68.36.204.205,,4,2007-05-30 00:00:00
29319,8573,"Let me say it from the very beginning: this is the best prof I've ever had in my life! Seriously if you want to pursue math, this is the guy! Wei Zhang is smart, energetic, and you can really tell, he cares about his students. Some people say they can't understand his English, but his English is actually very clear, and even adorable.

His class is totally manageable. If you still haven't understood everything from his marvelous class, which is really impossible, do his homework, which is light but effective. You are allowed to drop 2 homework for his class.

Exam for this class is easy and his grading is extremely fair. 

In a word, he is perfect! Definitely take his class!",209.2.231.225,Manageable. Weekly homework. 2 midterms 1 final. ,4,2014-04-10 03:14:46
2456,1075,"Professor Rojas is such an excellent professor with such an extensive knowledge of organic chemistry. Not just that, he really explains the material so well and so clearly. his notes are excellent and his lectures are very well organized. he holds office hours frequently and always tries to make himself available to students. he really cares for his students and wants to help them understand as much as possible. he has the tendency to crack jokes, some of which are lame, but some of which are really funny and appropriate. he can be very entertaining and he makes the lectures go by faster.",,"weekly problem sets, 3 midterms, one final",4,2002-05-04 00:00:00
3758,1515,"As another reviewer has said, Amy is talented. She deserves props for being good at what she does. She should stick with that. Her ability to impart knowledge to others is non-existent. Furthermore, her scattered approach to everything is confusing and frustrating beyond belief. Her assignments are ridiculous, not in that they are difficult, but at 11 PM the night before they are due she will send an email to the whole class changing the entire premise. You never know what to do. Her criticism is harsh and often so indecisive that she cannot be understood at all. While Amy is a talented performer, this class is not worth taking. Stick with another acting lab...you will learn much more. ",,,2,2002-12-09 00:00:00
84120,4690,"I LOVED this class. 

Professor Moya is so, so nice and incredibly funny! Some of his jokes didn't land or were a little strange, but you can tell that part of that was a language barrier issue (English is not his first language) and not meant to be offensive. He was also always very open to criticism, which I appreciated. He is very knowledgeable and super responsive via email and office hours. I reached out regarding the topic for my final essay, and he gave me three long paragraphs in response on ideas and his comments on the subject! Professor Moya is easily one of the smartest professors I have taken at this university. 

However, his exams are HARD. The midterm and final were very long (I believe around 100 questions each, multiple choice but on very obscure subjects within our broader lecture topics -- not the type of things you could study). Although they were open-book, open-internet, and open-notes (including his lecture slides), the class average was still a C on both tests, which made up a big chunk of your final grade. I barely passed the final; Professor Moya allowed me to retake the midterm with no points taken off when I failed it, which I really appreciated. His final essay is super open-topic so you can pick basically anything, which I really loved writing and I received a near 100% on. If you're willing to focus a lot of time to doing all of the long readings and spending hours studying, you might be able to do really good on the midterm/final -- otherwise, I would focus on the essay. It can really make your grade not so terrible. Even though I struggled with the midterm/final, my essay carried my grade to a B.

If you're taking a semester with classes that aren't going to be so challenging, I would definitely recommend this class if only to hear Professor Moya lecture! Otherwise, I would be weary.",10.1.17.31,"1 midterm, 1 final, 1 essay. The midterm and final are VERY HARD! Do not underestimate them! The essay is open to any topic, and I would recommend talking to him in office hours/via email first to get his thoughts before you write it.",3,2023-08-23 15:49:31
25351,7191,"Sue deserves a Golden Nugget! Right now. I know she is a new professor this semester, and has only had 14 of us as students, but she deserves one all the same. The first day of class I considered switching out because she seemed so intense and assigned us so much work. If you have this sentiment, DON'T SWITCH OUT! Seriously, Sue cares more about our Uwriting class than any teacher I have ever had. Even though she was writing her dissertation and was completely overwhelmed with writing center business, she was so passionate and engaged every class period. In our last class (right before she invited us to her apartment for delicious lasagna), she started tearing up-- the perfect embodiment of her love for teaching and our class. I think I improved so much, both as a writer and a person. ",24.46.97.65,"Alot, more than most UW classes. And she's a tough grader... but such an awesome person that grades don't matter! Also, at end of semester she rounds up a few students grades one half letter (like B+ to A-) if she feels that you have put excellent effort, so participate ALOT in class! The conversations are so engaging that you'll want to participate regardless!",5,2011-01-05 21:33:52
4801,1121,"Anupama Rao -- you call her ""bad""? I DON'T THINK SO!!! This charming, young professor is incredibly energetic, engaging, super NICE, and simply BRILLIANT. I agree that her organizational skills need some work but if you're confused, all you need to do is ask her to clarify some points during lecture...she's extremely open to questions. Unlike most classes that approach history in a linear, boring, conventional manner, Prof Rao knows how to engage us in a broader, more theoretical picture of history by persistanly asking us ""what is at stake?,"" ""why is this important,"" etc. This is a great class if you're trying to look at history CRITICALLY. I absolutely fell in love with Indian history after this course -- and Prof Rao too!!!  ",,"TONS of reading, but extremely rewarding. TA was super helpful. 1 map quiz, midterm, paper, final, weekly discussion sections. ",4,2003-02-28 00:00:00
17267,5108,"Decent professor, Milton is his specialty so he actually knows what he's talking about. Very smart, approachable, whether you do or do not do the readings is up to you, the final can be a killer either way. The class is not really a Milton class, but a Milton and His World class, which can be good or bad depending on how much history of the English civil wars you can stomach (and remember for the final). Ie: Cromwell, Charles II, Rump Parliament. 
Overall, an interesting and erudite lecturer, he's always available to talk and he's very good about giving constructive criticism on papers. He's not a spitter or the please-kill-me-now type, though Milton might be. With that said, material is rather dry at times and the final won't let you get away with not knowing every single thing about the works and the circumstances in which they were written.       ",71.127.181.174,"A whole lot of reading - political treatises, Paradise Lost, Comus, Paradise Regained, etc. (we never covered everything the syllabus included); 2 papers (5-6 pp, and 7-8 pp) and your usual english final - IDs and essay.",4,2006-12-28 00:00:00
26970,7215,"If you are looking *only* to PDF the course, fullfill your QUA or Lab science as painlessly as possible, and you're weak in math or science, don't waste your time on squeezing into psych lotteries or the intro environmental science course.

While I was initially wary about the math, and while the problem sets aren't necessarily easy, they are fairly straightforward and the math portion of this non-majors course is kept to a minimum -- no more than 30%, I'd say, and the rest is more essay-based (knowing the phases of the moon, climate changes, planets, etc). This is definitely an easily manageable course as long as you read the notes, which Professor Key posts on CourseWorks. She also drops the lowest quiz and offers an extra credit opportunity.

However, I was also pleasantly surprised by how fascinating this class is -- a class I would never ever have taken otherwise. I actually started to pay attention to moon phases and the appearances of certain stars and plants. Professor Kay brings in documentaries, history, old space movies, and current events into the lectures and her personal stories are pretty interesting as well. So go for it!",160.39.104.184,"A quiz every other week
Homework every other week
A midterm and a final
Extra Credit essay",3,2012-01-19 18:41:14
2927,1255,"summer 2002 She rocks! So cool and fun, teaches grammar well, very understanding about course work and will be teaching a class in the Fall of 2002. ",,moderate,4,2002-07-08 00:00:00
